country,year,GDP
Australia,2022,61200.4588964781
Australia,2021,59465.535671364
Australia,2020,58377.7670517802
Australia,2019,59181.2997904131
Australia,2018,58772.7063152213
Australia,2017,57991.771347333
Australia,2016,57632.9995925594
Australia,2015,56970.3613028094
Australia,2014,56571.8062524437
Australia,2013,55966.1509270561
Australia,2012,55465.4462872577
Australia,2011,54296.2321324814
Australia,2010,53768.349733441
Australia,2009,53430.5274781651
Australia,2008,53497.275355342
Australia,2007,52671.325846724
Australia,2006,51682.8925230537
Australia,2005,50972.640519744
Australia,2004,50018.5904483861
Australia,2003,48509.6632180363
Australia,2002,47599.4079289312
Australia,2001,46314.6235297968
Australia,2000,45979.0765654048
Australia,1999,44755.6599721318
Australia,1998,43081.7201718179
Australia,1997,41569.1653679391
Australia,1996,40437.0941864857
Australia,1995,39407.5647528439
Australia,1994,38356.7691976693
Australia,1993,37246.0044332363
Australia,1992,36117.5446503441
Australia,1991,36366.6962397612
Australia,1990,36975.4199007908
Australia,1989,36232.1764714618
Australia,1988,35474.6950998214
Australia,1987,34095.5190957953
Australia,1986,33755.0847823788
Australia,1985,32939.2895127443
Australia,1984,31706.3733417014
Australia,1983,30688.5439685755
Australia,1982,31819.6532938973
Australia,1981,31333.1633085396
Australia,1980,30796.9990737135
Australia,1979,30256.548535893
Australia,1978,29394.359192462
Australia,1977,29474.2752072
Australia,1976,28774.5418932665
Australia,1975,28331.3388137168
Australia,1974,28303.4084700947
Australia,1973,27883.891225048
Australia,1972,27590.9777551932
Australia,1971,27046.1431511563
Australia,1970,26899.7541974476
Australia,1969,25598.378558021
Australia,1968,24418.8606195107
Australia,1967,23648.5462637879
Australia,1966,22528.1223305731
Australia,1965,22512.3706366385
Australia,1964,21662.9940402643
Australia,1963,20651.3354330668
Australia,1962,19819.5508619226
Australia,1961,20049.2014599323
Australia,1960,19957.0185396831
United States,2022,63886.1317069841
United States,2021,62680.2503585805
United States,2020,59194.6665172031
United States,2019,60750.9898621637
United States,2018,59526.665698712
United States,2017,58151.7021391854
United States,2016,57151.4708448372
United States,2015,56572.9188996063
United States,2014,55394.4510435329
United States,2013,54462.6252412407
United States,2012,53738.1476714593
United States,2011,52956.6630340962
United States,2010,52555.7695134023
United States,2009,51611.3217087719
United States,2008,53442.7136899777
United States,2007,53889.3964951775
United States,2006,53335.5896950225
United States,2005,52393.4513113092
United States,2004,51098.5573007417
United States,2003,49662.7520549839
United States,2002,48729.1586442625
United States,2001,48361.0167607073
United States,2000,48379.7551705781
United States,1999,47004.469017723
United States,1998,45374.6215189233
United States,1997,43936.9050018073
United States,1996,42575.6896936773
United States,1995,41507.9135604158
United States,1994,40907.0184352707
United States,1993,39807.8795034206
United States,1992,39256.0481325055
United States,1991,38449.8815276871
United States,1990,39009.3725082423
United States,1989,38722.252151711
United States,1988,37705.0600397471
United States,1987,36523.4044857245
United States,1986,35620.759359254
United States,1985,34748.2668742364
United States,1984,33654.3079300258
United States,1983,31656.1736604625
United States,1982,30546.7587475276
United States,1981,31405.6062642433
United States,1980,30930.4214515341
United States,1979,31309.0493216525
United States,1978,30684.9987747049
United States,1977,29385.3192596356
United States,1976,28370.4569990061
United States,1975,27177.0167648036
United States,1974,27502.8548958664
United States,1973,27906.1356426005
United States,1972,26668.1690068193
United States,1971,25609.294432327
United States,1970,25108.3873891175
United States,1969,25347.7065228137
United States,1968,24826.9926989169
United States,1967,23927.5975287955
United States,1966,23599.5749334506
United States,1965,22416.6241536604
United States,1964,21333.2984355768
United States,1963,20445.8368750774
United States,1962,19868.0207995247
United States,1961,19015.9777136991
United States,1960,18899.1580127887
