index,key,value
1991 Q2,male,2369759.19837561
1991 Q3,male,2373505.63225622
1991 Q4,male,2326669.73615914
1992 Q1,male,2297053.31043369
1992 Q2,male,2319200.73795725
1992 Q3,male,2328720.41514106
1992 Q4,male,2290090.40816569
1993 Q1,male,2248899.51661433
1993 Q2,male,2279485.13995062
1993 Q3,male,2312257.44271735
1993 Q4,male,2279332.15194956
1994 Q1,male,2244751.29114437
1994 Q2,male,2247245.56803558
1994 Q3,male,2269925.68686019
1994 Q4,male,2264874.23036367
1995 Q1,male,2247747.69758628
1995 Q2,male,2253289.62964314
1995 Q3,male,2262820.80219844
1995 Q4,male,2250845.27501098
1996 Q1,male,2232369.11359257
1996 Q2,male,2238641.56874565
1996 Q3,male,2247075.76548504
1996 Q4,male,2226699.03659216
1997 Q1,male,2203896.68976179
1997 Q2,male,2207246.66357852
1997 Q3,male,2218671.39614767
1997 Q4,male,2214178.68311159
1998 Q1,male,2207059.93538086
1998 Q2,male,2227787.17745633
1998 Q3,male,2245453.15208831
1998 Q4,male,2233343.19655843
1999 Q1,male,2223929.79147791
1999 Q2,male,2242221.67415484
1999 Q3,male,2258201.03548768
1999 Q4,male,2253795.02610098
2000 Q1,male,2252404.29400392
2000 Q2,male,2265046.68706301
2000 Q3,male,2274309.15326406
2000 Q4,male,2271976.58086672
2001 Q1,male,2276747.07782448
2001 Q2,male,2292983.38595304
2001 Q3,male,2304368.35250002
2001 Q4,male,2298767.02685654
2002 Q1,male,2285797.41462925
2002 Q2,male,2285851.61869288
2002 Q3,male,2296972.23040345
2002 Q4,male,2291805.48314484
2003 Q1,male,2276466.79064157
2003 Q2,male,2275645.84799533
2003 Q3,male,2277598.67076581
2003 Q4,male,2275232.71952193
2004 Q1,male,2273099.64325106
2004 Q2,male,2278765.95254918
2004 Q3,male,2289448.03135383
2004 Q4,male,2286924.46200962
2005 Q1,male,2276753.12233529
2005 Q2,male,2283917.87890587
2005 Q3,male,2304875.15487959
2005 Q4,male,2311008.47726324
2006 Q1,male,2313849.32332263
2006 Q2,male,2331736.01742601
2006 Q3,male,2356313.80244597
2006 Q4,male,2372859.75298628
2007 Q1,male,2380989.29804667
2007 Q2,male,2400698.62703546
2007 Q3,male,2421461.05645892
2007 Q4,male,2426196.24947198
2008 Q1,male,2425537.35816303
2008 Q2,male,2434341.83062126
2008 Q3,male,2454978.38467695
2008 Q4,male,2456561.02106022
2009 Q1,male,2443752.88575768
2009 Q2,male,2444266.71591023
2009 Q3,male,2443931.33466118
2009 Q4,male,2434361.70150672
2010 Q1,male,2416246.63218206
2010 Q2,male,2471683.07554278
2010 Q3,male,2491709.38374101
2010 Q4,male,2489488.8895473
2011 Q1,male,2491151.38557057
2011 Q2,male,2518603.98122993
2011 Q3,male,2553549.29310151
2011 Q4,male,2554595.81566585
2012 Q1,male,2527966.80720494
2012 Q2,male,2558158.11365508
2012 Q3,male,2591023.83395556
2012 Q4,male,2589144.87902451
2013 Q1,male,2556091.00344127
2013 Q2,male,2584991.49280784
2013 Q3,male,2601321.97257692
2013 Q4,male,2623902.15920446
2014 Q1,male,2581619.32499998
2014 Q2,male,2629744.25178479
2014 Q3,male,2641412.29308336
2014 Q4,male,2665616.68383392
2015 Q1,male,2635925.52454209
2015 Q2,male,2659177.53918394
2015 Q3,male,2668055.78919995
2015 Q4,male,2691826.66848162
2016 Q1,male,2655981.8668591
2016 Q2,male,2682559.53878472
2016 Q3,male,2705690.7700155
2016 Q4,male,2722890.83054659
2017 Q1,male,2675646.97653293
2017 Q2,male,2732592.28357703
2017 Q3,male,2751800.91908112
2017 Q4,male,2754770.42993307
2018 Q1,male,2711729.2178705
2018 Q2,male,2760333.25773487
2018 Q3,male,2757789.59571398
2018 Q4,male,2772604.35289173
2019 Q1,male,2737380.7754626
2019 Q2,male,2769174.98981217
2019 Q3,male,2763009.59987873
2019 Q4,male,2777277.64869066
2020 Q1,male,2771474.95157923
2020 Q2,male,2726302.52866274
1991 Q2,female,1672346.45355124
1991 Q3,female,1665674.54683036
1991 Q4,female,1659117.65839143
1992 Q1,female,1663159.68363215
1992 Q2,female,1670375.08486462
1992 Q3,female,1669728.69802035
1992 Q4,female,1654604.32620369
1993 Q1,female,1648861.6228176
1993 Q2,female,1659968.34040798
1993 Q3,female,1672318.5894721
1993 Q4,female,1674011.89232256
1994 Q1,female,1666197.56990134
1994 Q2,female,1653708.1539856
1994 Q3,female,1665032.42534353
1994 Q4,female,1676162.19001026
1995 Q1,female,1668820.81793937
1995 Q2,female,1657459.38090435
1995 Q3,female,1655915.76116482
1995 Q4,female,1665437.24489213
1996 Q1,female,1662013.08021379
1996 Q2,female,1667629.21190949
1996 Q3,female,1672210.46097752
1996 Q4,female,1671992.93071045
1997 Q1,female,1674543.34075274
1997 Q2,female,1680197.65593853
1997 Q3,female,1694723.05663689
1997 Q4,female,1702407.03988397
1998 Q1,female,1708575.87147733
1998 Q2,female,1721821.05970808
1998 Q3,female,1729356.28906771
1998 Q4,female,1729486.88984032
1999 Q1,female,1729294.56137786
1999 Q2,female,1735085.963096
1999 Q3,female,1743181.84934922
1999 Q4,female,1745826.38565273
2000 Q1,female,1745352.16515968
2000 Q2,female,1748536.43684991
2000 Q3,female,1758166.4604078
2000 Q4,female,1771359.92886332
2001 Q1,female,1783170.40171645
2001 Q2,female,1789363.1851805
2001 Q3,female,1799813.85537656
2001 Q4,female,1809561.00966534
2002 Q1,female,1815708.00895639
2002 Q2,female,1824375.61950203
2002 Q3,female,1836661.75733903
2002 Q4,female,1834463.8202688
2003 Q1,female,1820142.13440686
2003 Q2,female,1822026.55167499
2003 Q3,female,1831538.75068149
2003 Q4,female,1834218.37083276
2004 Q1,female,1830522.57545623
2004 Q2,female,1829146.62645735
2004 Q3,female,1832799.05889986
2004 Q4,female,1837551.0619106
2005 Q1,female,1838117.45832681
2005 Q2,female,1842150.62860238
2005 Q3,female,1856528.05550512
