index,arrivals,log_arrivals
2005 Jan,1.732,0.5492768101402434
2005 Feb,1.967,0.676509539406922
2005 Mar,3.184,1.1581382679821366
2005 Apr,5.635,1.7289971474917396
2005 May,21.046,3.0467105183186205
2005 Jun,18.855,2.9367781307103207
2005 Jul,12.647,2.537420032897839
2005 Aug,10.621,2.3628331733394026
2005 Sep,6.825,1.9205923410710235
2005 Oct,4.904,1.5900511986339103
2005 Nov,3.442,1.2360526977893478
2005 Dec,2.614,0.9608816152020302
2006 Jan,1.998,0.6921466802263617
2006 Feb,2.183,0.7807000775678068
2006 Mar,3.264,1.1829534371018604
2006 Apr,9.207,2.219964064305709
2006 May,26.569,3.2797451226313874
2006 Jun,21.577,3.071627932557248
2006 Jul,15.556,2.744446416293501
2006 Aug,12.44,2.520917087311034
2006 Sep,8.56,2.1471001901536506
2006 Oct,6.837,1.9223490389316569
2006 Nov,3.83,1.3428648031925547
2006 Dec,3.034,1.1098818809263404
2007 Jan,2.318,0.84070474491756
2007 Feb,2.775,1.020650747198398
2007 Mar,4.369,1.4745341499692988
2007 Apr,10.246,2.3268873855170105
2007 May,29.947,3.399429152599507
2007 Jun,22.937,3.1327513272120786
2007 Jul,17.671,2.8719248778259185
2007 Aug,14.228,2.655211854086209
2007 Sep,10.359,2.337855707075965
2007 Oct,8.135,2.096175740671001
2007 Nov,5.028,1.615022290728001
2007 Dec,4.383,1.4777334214366722
2008 Jan,2.851,1.0476698099305348
2008 Feb,3.543,1.264973825883335
2008 Mar,5.761,1.7511110707502462
2008 Apr,10.364,2.338338262699863
2008 May,31.177,3.4396806434778493
2008 Jun,20.763,3.033172556527836
2008 Jul,17.114,2.8398968419958632
2008 Aug,14.626,2.6828007668487595
2008 Sep,10.229,2.3252268234748703
2008 Oct,8.02,2.081938421878423
2008 Nov,4.081,1.4063420564236688
2008 Dec,3.578,1.2748039850865274
2009 Jan,2.733,1.005399906945931
2009 Feb,2.769,1.018486244188825
2009 Mar,4.857,1.5804209633636075
2009 Apr,9.959,2.2984766649495025
2009 May,28.426,3.34730421931682
2009 Jun,24.917,3.215550301439624
2009 Jul,17.424,2.857848566190605
2009 Aug,15.1,2.714694743820879
2009 Sep,12.159,2.498069636314282
2009 Oct,8.477,2.1373566136262685
2009 Nov,4.952,1.599791535382295
2009 Dec,4.549,1.5149074285878672
2010 Jan,2.934,1.07636667972079
2010 Feb,3.013,1.1029362601481645
2010 Mar,4.99,1.6074359097634274
2010 Apr,11.207,2.416538583069891
2010 May,35.027,3.55611919266276
2010 Jun,31.041,3.435308911290923
2010 Jul,21.523,3.069122130782042
2010 Aug,18.372,2.910827766463547
2010 Sep,14.493,2.6736657742403795
2010 Oct,12.966,2.5623305467528037
2010 Nov,5.832,1.763359994706357
2010 Dec,4.601,1.5262736711733316
2011 Jan,3.275,1.1863178690872151
2011 Feb,3.294,1.1921026317554486
2011 Mar,6.657,1.8956689326185665
2011 Apr,15.456,2.737997277470162
2011 May,47.747,3.865916237727895
2011 Jun,41.501,3.7257175233318818
2011 Jul,25.371,3.233606789468195
2011 Aug,19.403,2.9654276932891355
2011 Sep,15.737,2.756014627618727
2011 Oct,11.664,2.456507175266302
2011 Nov,5.697,1.7399397204982583
2011 Dec,4.822,1.5731887797589794
2012 Jan,3.551,1.2672292539609509
2012 Feb,3.821,1.340512168464763
2012 Mar,6.863,1.9261446639264976
2012 Apr,15.579,2.7459238535302917
2012 May,55.905,4.023653821599331
2012 Jun,46.891,3.8478257593829386
2012 Jul,25.803,3.250490764237452
2012 Aug,20.774,3.03370220480562
2012 Sep,15.203,2.7214927767986987
2012 Oct,12.278,2.5078090430053046
2012 Nov,6.079,1.8048402087665856
2012 Dec,5.116,1.6323728837165965
2013 Jan,3.475,1.2455944790167557
2013 Feb,3.783,1.330517345650892
2013 Mar,7.17,1.969905654611529
2013 Apr,13.393,2.594732182404985
2013 May,48.473,3.8810069418969566
2013 Jun,48.99,3.8916161956504833
2013 Jul,28.498,3.349833909373597
2013 Aug,22.893,3.130831186975606
2013 Sep,14.613,2.6819115434925154
2013 Oct,11.079,2.4050514245385357
2013 Nov,5.757,1.7504165056936725
2013 Dec,4.836,1.5760879327525463
2014 Jan,3.467,1.2432896667028863
2014 Feb,3.84,1.3454723665996355
2014 Mar,6.818,1.9195661737157113
2014 Apr,17.881,2.883738696593066
2014 May,48.571,3.8830266449865545
2014 Jun,41.372,3.722604323515557
2014 Jul,28.744,3.3584290498112175
2014 Aug,21.425,3.0645584644838437
2014 Sep,15.148,2.7178685100395485
2014 Oct,16.706,2.8157679363337147
2014 Nov,7.08,1.9572739077056285
2014 Dec,6.03,1.7967470107390942
2015 Jan,4.4,1.4816045409242156
2015 Feb,4.655,1.5379419107290304
2015 Mar,8.523,2.1427683915401605
2015 Apr,17.707,2.87396004162408
2015 May,65.179,4.177137331162236
2015 Jun,57.453,4.050967222252532
2015 Jul,33.286,3.5051368881645346
2015 Aug,26.946,3.293834863333656
2015 Sep,19.155,2.952563778152612
2015 Oct,15.748,2.756713373081491
2015 Nov,7.177,1.9708814684479348
2015 Dec,6.198,1.8242266593655565
2016 Jan,4.547,1.5144676748428734
2016 Feb,5.198,1.6482739362192986
2016 Mar,10.501,2.351470490723856
2016 Apr,18.127,2.897402539480782
2016 May,61.751,4.123110169708943
2016 Jun,50.183,3.9156763239260486
2016 Jul,33.039,3.4976886818509167
2016 Aug,26.046,3.2598642055455116
2016 Sep,21.742,3.0792458737818085
2016 Oct,17.348,2.8534772259731196
2016 Nov,9.147,2.2134259566742274
2016 Dec,7.781,2.051684864634793
2017 Jan,5.071,1.623538036812882
2017 Feb,5.562,1.7159577558117731
2017 Mar,10.547,2.3558414592944774
2017 Apr,23.858,3.172119590859754
2017 May,76.213,4.33353205181599
2017 Jun,65.221,4.1777815029636525
2017 Jul,40.57,3.703028877218356
2017 Aug,31.317,3.444161081094271
2017 Sep,27.047,3.297576093411866
2017 Oct,22.592,3.1175958613108317
2017 Nov,8.918,2.188071706205285
