index,arrivals,log_arrivals
2017 Dec,9.538,2.2552838198760328
2018 Jan,5.474,1.7000096106184874
2018 Feb,6.351,1.8486122808208376
2018 Mar,13.706,2.617833693163632
2018 Apr,24.927,3.215951553350954
2018 May,87.828,4.47538035640709
2018 Jun,69.766,4.245146785076459
2018 Jul,44.01,3.784416880823
2018 Aug,36.465,3.5963528964361964
2018 Sep,27.149,3.301340213289091
2018 Oct,23.293,3.148152886249217
2018 Nov,11.112,2.4080256054520426
2018 Dec,9.64,2.265921108622454
2019 Jan,5.664,1.7341303563914183
2019 Feb,8.005,2.080066346448678
2019 Mar,12.696,2.541286983224108
2019 Apr,29.775,3.3936691152413636
2019 May,78.211,4.359410302620514
2019 Jun,68.38,4.2250803842111555
2019 Jul,44.705,3.8000853521872817
2019 Aug,33.827,3.5212593001728743
2019 Sep,28.463,3.348604998209649
2019 Oct,23.194,3.1438936245345115
2019 Nov,11.639,2.4543615279598394
2019 Dec,11.433,2.436503910559833
